source_path,target_path,status_code
"/","/",200
"/blog/5-types-of-car-and-metal-balers/","/scrap-metal-prices/",301
"/blog/make-money-scraping-brass-shell-casings/","/scrap-metal-prices/",301
"/blog/metal/1-bare-bright-copper-wire/","/scrap-metal-prices/",301
"/blog/metal/1-hms/","/scrap-metal-prices/",301
"/blog/metal/2-3-mix-copper/","/scrap-metal-prices/",301
"/blog/metal/2-prepared/","/scrap-metal-prices/",301
"/blog/metal/acr-ends/","/scrap-metal-prices/",301
"/blog/metal/aluminum-3/","/scrap-metal-prices/",301
"/blog/metal/aluminum-copper-radiators/","/scrap-metal-prices/",301
"/blog/metal/aluminum-engine-block/","/scrap-metal-prices/",301
"/blog/metal/aluminum-litho/","/scrap-metal-prices/",301
"/blog/metal/aluminum-siding/","/scrap-metal-prices/",301
"/blog/metal/aluminum-transformers/","/scrap-metal-prices/",301
"/blog/metal/aluminum-turnings/","/scrap-metal-prices/",301
"/blog/metal/burnt-copper/","/scrap-metal-prices/",301
"/blog/metal/busheling/","/scrap-metal-prices/",301
"/blog/metal/carbide/","/scrap-metal-prices/",301
"/blog/metal/catv-wire/","/scrap-metal-prices/",301
"/blog/metal/clean-acr/","/scrap-metal-prices/",301
"/blog/metal/compressors/","/scrap-metal-prices/",301
"/blog/metal/copper-turnings/","/scrap-metal-prices/",301
"/blog/metal/dirty-acr/","/scrap-metal-prices/",301
"/blog/metal/elevator-wire/","/scrap-metal-prices/",301
"/blog/metal/fsx-414/","/scrap-metal-prices/",301
"/blog/metal/inconel-800/","/scrap-metal-prices/",301
"/blog/metal/invar/","/scrap-metal-prices/",301
"/blog/metal/kovar/","/scrap-metal-prices/",301
"/blog/metal/machine-shop-turning-iron-borings/","/scrap-metal-prices/",301
"/blog/metal/memory/","/scrap-metal-prices/",301
"/blog/metal/old-sheet-aluminum/","/scrap-metal-prices/",301
"/blog/metal/plate-structural-steel/","/scrap-metal-prices/",301
"/blog/metal/red-brass/","/scrap-metal-prices/",301
"/blog/metal/refrigerators/","/scrap-metal-prices/",301
"/blog/metal/semi-red-brass/","/scrap-metal-prices/",301
"/blog/metal/shreddable-steel/","/scrap-metal-prices/",301
"/blog/metal/silver-plated-copper/","/scrap-metal-prices/",301
"/blog/metal/small-gm-catalytic-converter/","/scrap-metal-prices/",301
"/blog/metal/solid-core-heliax/","/scrap-metal-prices/",301
"/blog/metal/speakers/","/scrap-metal-prices/",301
"/blog/metal/stainless-steel-kegs/","/scrap-metal-prices/",301
"/blog/metal/tin-coated-copper/","/scrap-metal-prices/",301
"/blog/metal/tin/","/scrap-metal-prices/",301
"/blog/metal/uncleaned-auto-cast/","/scrap-metal-prices/",301
"/blog/metal/unprepared-hms/","/scrap-metal-prices/",301
"/blog/metal/unprepared-ps/","/scrap-metal-prices/",301
"/blog/metal/washing-machines/","/scrap-metal-prices/",301
"/blog/metal/water-heaters/","/scrap-metal-prices/",301
"/blog/metal/wiring-harness/","/scrap-metal-prices/",301
"/blog/metal/yellow-brass/","/scrap-metal-prices/",301
"/blog/metal/zinc/","/scrap-metal-prices/",301
"/blog/metal/zorba/","/scrap-metal-prices/",301
"/scrap-metal-prices/","/scrap-metal-prices/",200
"/scrap-yards-colorado/","/",301
"/scrap-yards-idaho/","/",301
"/scrap-yards-michigan/","/",301
"/scrap-yards-north-dakota/","/",301
"/scrap-yards-oklahoma/","/",301
"/scrap-yards-south-carolina/","/",301
"/scrap-yards-washington/","/",301
"/scrap-yards-wisconsin/","/",301
"/services/category/aluminum/","/scrap-yards/",301
"/services/category/aluminum/united-states/ohio/akron-1/","/scrap-yards/",301
"/services/category/automobile-accessories/united-states/virginia-2/","/scrap-yards/",301
"/services/category/automobile-parts-supplies-used-rebuilt-wholesale-manufacturers/united-states/indiana-1/terre-haute-1/","/scrap-yards/",301
"/services/category/automobile-parts-supplies/united-states/south-carolina/conway-3/","/scrap-yards/",301
"/services/category/automobile-parts-supplies/united-states/south-dakota-1/","/scrap-yards/",301
"/services/category/automobile-salvage/","/scrap-yards/",301
"/services/category/automobile-salvage/united-states/north-carolina/charlotte-5/","/scrap-yards/",301
"/services/category/automobile-salvage/united-states/ohio/akron-1/","/scrap-yards/",301
"/services/category/automobile-salvage/united-states/ohio/columbus-7/","/scrap-yards/",301
"/services/category/computer-electronics-recycling/","/scrap-yards/",301
"/services/category/copper/","/scrap-yards/",301
"/services/category/copper/united-states/georgia/valdosta-1/","/scrap-yards/",301
"/services/category/copper/united-states/north-dakota-1/","/scrap-yards/",301
"/services/category/junk-dealers/united-states/florida/wildwood/","/scrap-yards/",301
"/services/category/junk-dealers/united-states/ohio/akron-1/","/scrap-yards/",301
"/services/category/metals/united-states/arizona/","/scrap-yards/",301
"/services/category/metals/united-states/hawaii/honolulu/","/scrap-yards/",301
"/services/category/metals/united-states/iowa/onawa-1/","/scrap-yards/",301
"/services/category/metals/united-states/maryland/curtis-bay/","/scrap-yards/",301
"/services/category/metals/united-states/oregon/salem-9/","/scrap-yards/",301
"/services/category/metals/united-states/texas/fort-worth/","/scrap-yards/",301
"/services/category/metals/united-states/texas/longview-1/","/scrap-yards/",301
"/services/category/metals/united-states/wisconsin/neenah/","/scrap-yards/",301
"/services/category/pipe/united-states/louisiana/","/scrap-yards/",301
"/services/category/recycling-centers/united-states/alabama/birmingham-1/","/scrap-yards/",301
"/services/category/recycling-centers/united-states/alabama/hanceville-1/","/scrap-yards/",301
"/services/category/recycling-centers/united-states/alabama/huntsville-2/","/scrap-yards/",301
"/services/category/recycling-centers/united-states/california/alhambra/","/scrap-yards/",301
"/services/category/recycling-centers/united-states/california/stockton-6/","/scrap-yards/",301
"/services/category/recycling-centers/united-states/colorado/arvada/","/scrap-yards/",301
"/services/category/recycling-centers/united-states/colorado/sterling-2/","/scrap-yards/",301
"/services/category/recycling-centers/united-states/florida/floral-city/","/scrap-yards/",301
"/services/category/recycling-centers/united-states/florida/orlando/","/scrap-yards/",301
"/services/category/recycling-centers/united-states/georgia/augusta-2/","/scrap-yards/",301
